title,category,price,discount_price,link,site,catalog,stock,stock_name,article,unit,order,inventory,city,price_2,discount_price_2,unit_2
"Счётчик для горячей воды Itelma 1/2"" DN15, со сгонами",Водоснабжение;Приборы учета и измерений,1043.0,-1,https://spb.leroymerlin.ru//product/schetchik-dlya-goryachey-vody-itelma-1-2-dn15-18626861/,leroymerlin,Приборы учета и измерений,-1,-1,18626861,шт,-1,-1,СПб,-1,-1,-1
"Счётчик для холодной воды Itelma 1/2"" DN15, со сгонами",Водоснабжение;Приборы учета и измерений,1043.0,-1,https://spb.leroymerlin.ru//product/schetchik-dlya-holodnoy-vody-itelma-1-2-dn15-18691655/,leroymerlin,Приборы учета и измерений,-1,-1,18691655,шт,-1,-1,СПб,-1,-1,-1
"Счетчик для воды универсальный Пульсар, 1/2"" DN15 80 мм, со сгонами",Водоснабжение;Приборы учета и измерений,750.0,-1,https://spb.leroymerlin.ru//product/schetchik-dlya-vody-universalnyy-pulsar-89159359/,leroymerlin,Приборы учета и измерений,-1,-1,89159359,шт,-1,-1,СПб,-1,-1,-1
"Счетчик для воды универсальный Пульсар, 1/2"" DN15 80 мм, со сгонами",Водоснабжение;Приборы учета и измерений,750.0,-1,https://spb.leroymerlin.ru//product/schetchik-dlya-vody-universalnyy-pulsar-89159358/,leroymerlin,Приборы учета и измерений,-1,-1,89159358,шт,-1,-1,СПб,-1,-1,-1
"Счётчик для воды универсальный , 1/2"" DN 15 110 мм, со сгонами",Водоснабжение;Приборы учета и измерений,678.0,-1,https://spb.leroymerlin.ru//product/schetchik-dlya-vody-universalnyy-12956069/,leroymerlin,Приборы учета и измерений,-1,-1,12956069,шт,-1,-1,СПб,-1,-1,-1
"Счётчик для воды универсальный Геррида, 3/4"" DN20, со сгонами",Водоснабжение;Приборы учета и измерений,1034.0,-1,https://spb.leroymerlin.ru//product/schetchik-dlya-vody-universalnyy-gerrida-12956077/,leroymerlin,Приборы учета и измерений,-1,-1,12956077,шт,-1,-1,СПб,-1,-1,-1
"Манометр аксиальный, 10 бар, 1/4""",Инструменты;Оборудование для мастерской;Аксессуары для компрессоров,274.0,-1,https://spb.leroymerlin.ru//product/manometr-aksialnyy-17955233/,leroymerlin,Приборы учета и измерений,-1,-1,17955233,шт,-1,-1,СПб,-1,-1,-1
"Манометр радиальный, 6 бар, 1/4""",Инструменты;Оборудование для мастерской;Аксессуары для компрессоров,274.0,-1,https://spb.leroymerlin.ru//product/manometr-radialnyy-17955241/,leroymerlin,Приборы учета и измерений,-1,-1,17955241,шт,-1,-1,СПб,-1,-1,-1
"Счётчик для воды универсальный с импульсным выходом Геррида 1/2"" DN15 80 мм, со сгонами",Водоснабжение;Приборы учета и измерений,864.0,-1,https://spb.leroymerlin.ru//product/schetchik-dlya-vody-universalnyy-s-impulsnym-vyhodom-gerrida-1-2-dn15-80-mm-12631221/,leroymerlin,Приборы учета и измерений,-1,-1,12631221,шт,-1,-1,СПб,-1,-1,-1
"Манометр аксиальный, 6 бар, 1/4""",Инструменты;Оборудование для мастерской;Аксессуары для компрессоров,274.0,-1,https://spb.leroymerlin.ru//product/manometr-aksialnyy-17955225/,leroymerlin,Приборы учета и измерений,-1,-1,17955225,шт,-1,-1,СПб,-1,-1,-1
